"","playerID","Full_name","position","Bats","Throws"
"1","aardsda01","David Allan Aardsma","Pitcher","Right","Right"
"2","aaronha01","Henry Louis Aaron","Rightfielder and First Baseman","Right","Right"
"3","aaronto01","Tommie Lee Aaron","First Baseman and Leftfielder","Right","Right"
"4","aasedo01","Donald William Aase","Pitcher","Right","Right"
"5","abadan01","Fausto Andres Abad","First Baseman, Pinch Hitter and Rightfielder","Left","Left"
"6","abadfe01","Fernando Antonio Abad","Pitcher","Left","Left"
"7","abadijo01","John W. Abadie","First Baseman","Right","Right"
"8","abbated01","Edward James Abbaticchio","Second Baseman and Shortstop","Right","Right"
"9","abbeybe01","Bert Wood Abbey","Pitcher","Right","Right"
"10","abbeych01","Charles S. Abbey","Outfielder","Left","Left"
"11","abbotan01","Andrew Cole Abbott","Pitcher","Left","Left"
"12","abbotco01","Cory James Abbott","Pitcher","Right","Right"
"13","abbotfr01","Harry Frederick Abbott","Catcher and First Baseman","Right","Right"
"14","abbotgl01","William Glenn Abbott","Pitcher","Right","Right"
"15","abbotje01","Jeffrey William Abbott","Outfielder","Right","Left"
"16","abbotji01","James Anthony Abbott","Pitcher","Left","Left"
"17","abbotku01","Kurt Thomas Abbott","Shortstop, Second Baseman and Leftfielder","Right","Right"
"18","abbotky01","Lawrence Kyle Abbott","Pitcher","Left","Left"
"19","abbotod01","Ody Cleon Abbott","Centerfielder","Left","Right"
"20","abbotpa01","Paul David Abbott","Pitcher","Right","Right"
"21","aberal01","Albert Julius Aber","Pitcher","Left","Left"
"22","abercda01","Francis Patterson Abercrombie","Shortstop","Unknown","Unknown"
"23","abercre01","Reginald Damascus Abercrombie","Centerfielder","Right","Right"
"24","abernbi01","William Edward Abernathie","Pitcher","Right","Right"
"25","abernbr01","Michael Brent Abernathy","Second Baseman","Right","Right"
"26","abernte01","Talmadge Lafayette Abernathy","Pitcher","Right","Left"
"27","abernte02","Theodore Wade Abernathy","Pitcher","Right","Right"
"28","abernwo01","Virgil Woodrow Abernathy","Pitcher","Left","Left"
"29","aberscl01","Clifford Alexander Aberson","Leftfielder","Right","Right"
"30","ablesha01","Harry Terrell Ables","Pitcher","Right","Left"
"31","abnersh01","Shawn Wesley Abner","Outfielder","Right","Right"
"32","abramca01","Calvin Ross Abrams","Outfielder","Left","Left"
"33","abramcj01","Paul Christopher Abrams","Shortstop and Second Baseman","Left","Right"
"34","abramge01","George Allen Abrams","Pitcher","Right","Right"
"35","abregjo01","Johnny Ray Abrego","Pitcher","Right","Right"
"36","abreual01","Albert Enmanuel Abreu","Pitcher","Right","Right"
"37","abreubo01","Bob Kelly Abreu","Rightfielder","Left","Right"
